id	title	description	link	image_link	additional_image_link	availability	price	condition	brand	identifier_exists	mpn	google_product_category	product_type	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4
iherb-132301	[iHerb]Nutricost 블랙 커민 씨오일 소프트젤 120정	[iHerb]Nutricost 블랙 커민 씨오일 소프트젤 120정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85387	https://cdn.imweb.me/upload/S2026031936150999f07e8/86b6c3da35e25.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/6de2166627737.jpeg	out_of_stock	23950 KRW	new	Nutricost	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_20000_50000	safe
iherb-147395	[iHerb]Nutricost 나토키나제 2 000FU 캡슐 30정	[iHerb]Nutricost 나토키나제 2 000FU 캡슐 30정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85381	https://cdn.imweb.me/upload/S2026031936150999f07e8/825a8574c1d90.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/8135b75ffaee0.jpeg	out_of_stock	9440 KRW	new	Nutricost	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_under_20000	safe
iherb-149447	[iHerb]HBAF 구운 콘 팝콘 80g	[iHerb]HBAF 구운 콘 팝콘 80g. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85379	https://cdn.imweb.me/upload/S2026031936150999f07e8/1bd6293ac011d.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/0c2b26d2279c6.jpeg	out_of_stock	4080 KRW	new	HBAF	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_under_20000	safe
iherb-150927	[iHerb]Vitamatic l-테아닌 240정	[iHerb]Vitamatic l-테아닌 240정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85378	https://cdn.imweb.me/upload/S2026031936150999f07e8/8607c85f63f1b.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/ec4c5ba16f68e.jpeg	in_stock	20910 KRW	new	Vitamatic	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-154042	[iHerb]Vitamatic 루틴 베지 캡슐 180정	[iHerb]Vitamatic 루틴 베지 캡슐 180정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85377	https://cdn.imweb.me/upload/S2026031936150999f07e8/1cf1bbbbc8913.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/8aa1db0ddfdd8.jpeg	in_stock	25070 KRW	new	Vitamatic	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-24044	[iHerb]Nature s Life 바이오플라보노이드 1 000 mg 100 태블릿	[iHerb]Nature s Life 바이오플라보노이드 1 000 mg 100 태블릿. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85375	https://cdn.imweb.me/upload/S2026031936150999f07e8/722ab0187d8f6.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/179ada7a7b407.jpeg	out_of_stock	18800 KRW	new	Nature's Life	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_under_20000	safe
iherb-156068	[iHerb]Ancient Nutrition 혈당 지원 종합비타민 캡슐 60정	[iHerb]Ancient Nutrition 혈당 지원 종합비타민 캡슐 60정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85372	https://cdn.imweb.me/upload/S2026031936150999f07e8/ac358588f4182.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/b94bb61986ffd.jpeg	out_of_stock	49230 KRW	new	Ancient Nutrition	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_20000_50000	sensitive
iherb-156070	[iHerb]Ancient Nutrition 본 건강 종합비타민 캡슐 30정	[iHerb]Ancient Nutrition 본 건강 종합비타민 캡슐 30정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85371	https://cdn.imweb.me/upload/S2026031936150999f07e8/7ee2c57bdaae8.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/5415bdd2edf83.jpeg	out_of_stock	40370 KRW	new	Ancient Nutrition	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_20000_50000	safe
iherb-156076	[iHerb]Ancient Nutrition 호르몬 균형 콜라겐 캡슐 60정	[iHerb]Ancient Nutrition 호르몬 균형 콜라겐 캡슐 60정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85370	https://cdn.imweb.me/upload/S2026031936150999f07e8/c05ac9e47eb99.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/4fcad3dd3bfed.jpeg	out_of_stock	54150 KRW	new	Ancient Nutrition	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_50000_plus	safe
iherb-156502	[iHerb]Micro Ingredients l-아르기닌 소프트젤 300정	[iHerb]Micro Ingredients l-아르기닌 소프트젤 300정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85364	https://cdn.imweb.me/upload/S2026031936150999f07e8/e8e16cf34b860.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/09bd3270d3acf.jpeg	in_stock	29940 KRW	new	Micro Ingredients	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
